,ZipCode,TotalHousingUnits,OccupiedHousingUnits,VacantHousingUnits,OwnerOccupied,RenterOccupied,OwnerOccupiedHouseholdSize,RenterOccupiedHouseholdSize,VehiclesAvailable,NoVehiclesAvailable,WithMortgage,WithoutMortgage
177,01075,7641,7328,313,5680,1648,2.23,1.77,7328,323,3528,2152
178,01077,3938,3648,290,3052,596,2.58,2.32,3648,126,1854,1198
179,01079,237,237,0,161,76,2.55,1.45,237,39,99,62
180,01080,938,895,43,571,324,2.51,2.60,895,73,353,218
181,01081,864,708,156,634,74,2.50,2.24,708,3,451,183
182,01082,5226,4689,537,3203,1486,2.36,1.94,4689,490,2074,1129
183,01083,1010,934,76,594,340,3.42,1.97,934,150,503,91
184,01084,86,44,42,35,9,2.23,2.56,44,0,16,19
185,01085,16444,15608,836,10339,5269,2.62,2.16,15608,1107,6383,3956
186,01088,354,345,9,188,157,1.43,2.52,345,7,69,119
187,01089,13084,12734,350,7187,5547,2.59,1.82,12734,1318,4673,2514
188,01092,621,532,89,274,258,2.66,1.99,532,23,251,23
189,01093,70,70,0,62,8,2.13,3.13,70,0,46,16
190,01094,31,31,0,31,0,2.26,-,31,0,7,24
191,01095,5672,5417,255,4865,552,2.78,1.55,5417,128,3240,1625
192,01096,1190,1058,132,897,161,2.40,1.61,1058,46,552,345
193,01097,26,26,0,15,11,3.53,-,26,0,15,0
194,01098,649,510,139,474,36,2.10,1.25,510,16,270,204
195,01103,1640,1434,206,134,1300,1.51,1.46,1434,587,63,71
196,01104,9834,9208,626,4333,4875,2.66,2.37,9208,2163,3228,1105
197,01105,5728,5206,522,458,4748,1.81,2.36,5206,2332,216,242
198,01106,6247,6015,232,5411,604,2.65,2.06,6015,194,3623,1788
199,01107,4708,4234,474,1289,2945,2.90,2.88,4234,1375,877,412
200,01108,11274,10213,1061,4237,5976,2.71,2.45,10213,1813,3172,1065
201,01109,10705,9506,1199,3970,5536,3.21,2.70,9506,2126,2745,1225
202,01118,5922,5785,137,4610,1175,2.49,2.99,5785,393,3550,1060
203,01119,5488,5230,258,3705,1525,2.45,2.35,5230,582,2428,1277
204,01128,1136,1136,0,1055,81,2.84,2.96,1136,16,766,289
205,01129,2604,2523,81,1961,562,2.39,2.07,2523,158,1270,691
206,01144,0,0,0,0,0,-,-,0,0,0,0
207,01151,3935,3664,271,1771,1893,2.37,2.87,3664,438,1114,657
208,01201,22576,19952,2624,12672,7280,2.38,1.94,19952,2963,8109,4563
209,01220,4439,3948,491,2273,1675,2.26,1.79,3948,563,1229,1044
210,01222,297,289,8,267,22,2.63,2.32,289,10,172,95
211,01223,2183,1223,960,1132,91,2.14,2.57,1223,16,671,461
212,01224,109,80,29,67,13,2.19,3.00,80,0,51,16
213,01225,1659,1509,150,1329,180,2.24,1.51,1509,56,785,544
214,01226,3057,2907,150,2153,754,2.31,1.71,2907,54,1347,806
215,01229,118,88,30,60,28,1.90,-,88,0,23,37
216,01230,5213,3793,1420,2842,951,2.30,1.76,3793,219,1778,1064
217,01235,1464,1104,360,893,211,2.47,1.91,1104,33,531,362
218,01236,879,704,175,543,161,2.29,2.11,704,66,288,255
219,01237,1460,1019,441,948,71,2.35,1.30,1019,7,564,384
220,01238,2720,2292,428,1765,527,2.40,2.24,2292,93,1126,639
221,01240,3055,2158,897,1337,821,2.47,1.52,2158,236,788,549
222,01242,140,93,47,93,0,2.95,-,93,0,93,0
223,01243,120,80,40,80,0,2.04,-,80,0,47,33
224,01244,132,68,64,55,13,2.18,3.38,68,3,33,22
225,01245,803,355,448,339,16,2.12,1.19,355,0,128,211
226,01247,7651,6527,1124,4061,2466,2.30,2.06,6527,718,2467,1594
227,01253,687,434,253,366,68,2.12,1.51,434,2,213,153
228,01254,590,440,150,430,10,2.27,1.80,440,2,196,234
229,01255,614,309,305,304,5,2.64,2.80,309,14,175,129
230,01256,404,330,74,315,15,2.10,3.07,330,7,186,129
231,01257,1268,1013,255,778,235,2.24,1.19,1013,58,540,238
232,01258,153,77,76,73,4,2.12,1.50,77,5,40,33
233,01259,464,292,172,257,35,2.38,3.09,292,0,143,114
234,01260,81,81,0,81,0,4.09,-,81,0,81,0
235,01262,1478,688,790,439,249,2.36,1.61,688,31,153,286
236,01264,164,100,64,74,26,2.26,2.04,100,0,20,54
237,01266,816,421,395,357,64,2.13,2.44,421,1,224,133
238,01267,3321,2541,780,1952,589,2.33,1.58,2541,180,1040,912
239,01270,406,372,34,372,0,2.55,-,372,0,278,94
240,01301,8677,8190,487,4607,3583,2.27,1.90,8190,1145,2988,1619
241,01330,823,704,119,586,118,2.31,1.56,704,35,359,227
242,01331,6135,5450,685,3984,1466,2.78,1.81,5450,675,2782,1202
243,01337,1156,1007,149,835,172,2.59,1.91,1007,30,577,258
244,01338,63,63,0,60,3,1.48,2.67,63,0,14,46
245,01339,824,627,197,552,75,2.34,2.29,627,18,289,263
246,01340,1045,797,248,669,128,2.28,2.30,797,13,394,275
247,01341,778,730,48,614,116,2.29,2.15,730,3,335,279
248,01342,428,343,85,258,85,2.45,3.26,343,19,161,97
249,01343,63,60,3,48,12,2.21,3.83,60,7,36,12
250,01344,781,681,100,535,146,2.66,1.87,681,45,411,124
251,01346,315,180,135,171,9,2.33,-,180,2,133,38
252,01347,117,96,21,42,54,2.17,2.15,96,0,12,30
253,01349,374,327,47,244,83,2.34,1.73,327,10,151,93
254,01350,67,52,15,40,12,1.95,3.00,52,0,19,21
255,01351,1077,1046,31,805,241,2.84,1.81,1046,27,511,294
256,01354,630,602,28,472,130,2.51,2.23,602,11,320,152
257,01355,460,413,47,360,53,2.41,2.68,413,0,249,111
258,01360,1382,1213,169,1019,194,2.45,1.93,1213,69,659,360
259,01364,3477,3021,456,2096,925,2.75,2.02,3021,318,1288,808
260,01366,538,458,80,414,44,2.34,2.18,458,29,236,178
261,01367,265,178,87,161,17,2.63,2.94,178,2,82,79
262,01368,610,551,59,485,66,2.72,2.12,551,17,320,165
263,01370,1914,1694,220,1189,505,2.34,1.71,1694,72,651,538
264,01373,2496,2355,141,1827,528,2.26,1.78,2355,220,1123,704
265,01375,1813,1666,147,727,939,2.38,2.01,1666,93,435,292
266,01376,2556,2312,244,1276,1036,2.26,1.89,2312,420,826,450
267,01378,388,319,69,297,22,2.40,2.18,319,2,168,129
